"date","ms"
"11/21/1398, 14:22:08",317
"11/21/1398, 14:22:08",327
"11/21/1398, 14:22:08",351
"11/21/1398, 14:22:08",700
"11/21/1398, 14:22:08",296
"11/21/1398, 14:22:08",323
"11/21/1398, 14:22:08",345
"11/21/1398, 14:22:08",370
"11/21/1398, 14:22:08",298
"11/21/1398, 14:22:08",313
"11/21/1398, 14:22:08",337
"11/21/1398, 14:22:08",280
"11/21/1398, 14:22:08",288
"11/21/1398, 14:22:08",271
"11/21/1398, 14:22:08",277
"11/21/1398, 14:22:08",352
"11/21/1398, 14:22:08",580
"11/21/1398, 14:22:08",401
"11/21/1398, 14:22:08",322
"11/21/1398, 14:22:08",345
"11/21/1398, 14:22:09",317
"11/21/1398, 14:22:09",327
"11/21/1398, 14:22:09",351
"11/21/1398, 14:22:09",700
"11/21/1398, 14:22:09",296
"11/21/1398, 14:22:09",323
"11/21/1398, 14:22:09",345
"11/21/1398, 14:22:09",370
"11/21/1398, 14:22:09",298
"11/21/1398, 14:22:09",313
"11/21/1398, 14:22:09",337
"11/21/1398, 14:22:09",280
"11/21/1398, 14:22:09",288
"11/21/1398, 14:22:09",271
"11/21/1398, 14:22:09",277
"11/21/1398, 14:22:09",352
"11/21/1398, 14:22:09",580
"11/21/1398, 14:22:09",401
"11/21/1398, 14:22:09",322
"11/21/1398, 14:22:09",345
"11/21/1398, 14:22:10",317
"11/21/1398, 14:22:10",327
"11/21/1398, 14:22:10",351
"11/21/1398, 14:22:10",700
"11/21/1398, 14:22:10",296
"11/21/1398, 14:22:10",323
"11/21/1398, 14:22:10",345
"11/21/1398, 14:22:10",370
"11/21/1398, 14:22:10",298
"11/21/1398, 14:22:10",313
"11/21/1398, 14:22:10",337
"11/21/1398, 14:22:10",280
"11/21/1398, 14:22:10",288
"11/21/1398, 14:22:10",271
"11/21/1398, 14:22:10",277
"11/21/1398, 14:22:10",352
"11/21/1398, 14:22:10",580
"11/21/1398, 14:22:10",401
"11/21/1398, 14:22:10",322
"11/21/1398, 14:22:10",345
"11/21/1398, 14:22:11",317
"11/21/1398, 14:22:11",327
"11/21/1398, 14:22:11",351
"11/21/1398, 14:22:11",700
"11/21/1398, 14:22:11",296
"11/21/1398, 14:22:11",323
"11/21/1398, 14:22:11",345
"11/21/1398, 14:22:11",370
"11/21/1398, 14:22:11",298
"11/21/1398, 14:22:11",313
"11/21/1398, 14:22:11",337
"11/21/1398, 14:22:11",280
"11/21/1398, 14:22:11",288
"11/21/1398, 14:22:11",271
"11/21/1398, 14:22:11",277
"11/21/1398, 14:22:11",352
"11/21/1398, 14:22:11",580
"11/21/1398, 14:22:11",401
"11/21/1398, 14:22:11",322
"11/21/1398, 14:22:11",345
"11/21/1398, 14:22:12",317
"11/21/1398, 14:22:12",327
"11/21/1398, 14:22:12",351
"11/21/1398, 14:22:12",700
"11/21/1398, 14:22:12",296
"11/21/1398, 14:22:12",323
"11/21/1398, 14:22:12",345
"11/21/1398, 14:22:12",370
"11/21/1398, 14:22:12",298
"11/21/1398, 14:22:12",313
"11/21/1398, 14:22:12",337
"11/21/1398, 14:22:12",280
"11/21/1398, 14:22:12",288
"11/21/1398, 14:22:12",271
"11/21/1398, 14:22:12",277
"11/21/1398, 14:22:12",352
"11/21/1398, 14:22:12",580
"11/21/1398, 14:22:12",401
"11/21/1398, 14:22:12",322
"11/21/1398, 14:22:12",345
"11/21/1398, 14:22:13",317
"11/21/1398, 14:22:13",327
"11/21/1398, 14:22:13",351
"11/21/1398, 14:22:13",700
"11/21/1398, 14:22:13",296
"11/21/1398, 14:22:13",323
"11/21/1398, 14:22:13",345
"11/21/1398, 14:22:13",370
"11/21/1398, 14:22:13",298
"11/21/1398, 14:22:13",313
"11/21/1398, 14:22:13",337
"11/21/1398, 14:22:13",280
"11/21/1398, 14:22:13",288
"11/21/1398, 14:22:13",271
"11/21/1398, 14:22:13",277
"11/21/1398, 14:22:13",352
"11/21/1398, 14:22:13",580
"11/21/1398, 14:22:13",401
"11/21/1398, 14:22:13",322
"11/21/1398, 14:22:13",345
"11/21/1398, 14:22:14",317
"11/21/1398, 14:22:14",327
"11/21/1398, 14:22:14",351
"11/21/1398, 14:22:14",700
"11/21/1398, 14:22:14",296
"11/21/1398, 14:22:14",323
"11/21/1398, 14:22:14",345
"11/21/1398, 14:22:14",370
"11/21/1398, 14:22:14",298
"11/21/1398, 14:22:14",313
"11/21/1398, 14:22:14",337
"11/21/1398, 14:22:14",280
"11/21/1398, 14:22:14",288
"11/21/1398, 14:22:14",271
"11/21/1398, 14:22:14",277
"11/21/1398, 14:22:14",352
"11/21/1398, 14:22:14",580
"11/21/1398, 14:22:14",401
"11/21/1398, 14:22:14",322
"11/21/1398, 14:22:14",345
"11/21/1398, 14:22:15",317
"11/21/1398, 14:22:15",327
"11/21/1398, 14:22:15",351
"11/21/1398, 14:22:15",700
"11/21/1398, 14:22:15",296
"11/21/1398, 14:22:15",323
"11/21/1398, 14:22:15",345
"11/21/1398, 14:22:15",370
"11/21/1398, 14:22:15",298
"11/21/1398, 14:22:15",313
"11/21/1398, 14:22:15",337
"11/21/1398, 14:22:15",280
"11/21/1398, 14:22:15",288
"11/21/1398, 14:22:15",271
"11/21/1398, 14:22:15",277
"11/21/1398, 14:22:15",352
"11/21/1398, 14:22:15",580
"11/21/1398, 14:22:15",401
"11/21/1398, 14:22:15",322
"11/21/1398, 14:22:15",345
"11/21/1398, 14:22:16",317
"11/21/1398, 14:22:16",327
"11/21/1398, 14:22:16",351
"11/21/1398, 14:22:16",700
"11/21/1398, 14:22:16",296
"11/21/1398, 14:22:16",323
"11/21/1398, 14:22:16",345
"11/21/1398, 14:22:16",370
"11/21/1398, 14:22:16",298
"11/21/1398, 14:22:16",313
"11/21/1398, 14:22:16",337
"11/21/1398, 14:22:16",280
"11/21/1398, 14:22:16",288
"11/21/1398, 14:22:16",271
"11/21/1398, 14:22:16",277
"11/21/1398, 14:22:16",352
"11/21/1398, 14:22:16",580
"11/21/1398, 14:22:16",401
"11/21/1398, 14:22:16",322
"11/21/1398, 14:22:16",345
"11/21/1398, 14:22:17",317
"11/21/1398, 14:22:17",327
"11/21/1398, 14:22:17",351
"11/21/1398, 14:22:17",700
"11/21/1398, 14:22:17",296
"11/21/1398, 14:22:17",323
"11/21/1398, 14:22:17",345
"11/21/1398, 14:22:17",370
"11/21/1398, 14:22:17",298
"11/21/1398, 14:22:17",313
"11/21/1398, 14:22:17",337
"11/21/1398, 14:22:17",280
"11/21/1398, 14:22:17",288
"11/21/1398, 14:22:17",271
"11/21/1398, 14:22:17",277
"11/21/1398, 14:22:17",352
"11/21/1398, 14:22:17",580
"11/21/1398, 14:22:17",401
"11/21/1398, 14:22:17",322
"11/21/1398, 14:22:17",345
"11/21/1398, 14:22:18",317
"11/21/1398, 14:22:18",327
"11/21/1398, 14:22:18",351
"11/21/1398, 14:22:18",700
"11/21/1398, 14:22:18",296
"11/21/1398, 14:22:18",323
"11/21/1398, 14:22:18",345
"11/21/1398, 14:22:18",370
"11/21/1398, 14:22:18",298
"11/21/1398, 14:22:18",313
"11/21/1398, 14:22:18",337
"11/21/1398, 14:22:18",280
"11/21/1398, 14:22:18",288
"11/21/1398, 14:22:18",271
"11/21/1398, 14:22:18",277
"11/21/1398, 14:22:18",352
"11/21/1398, 14:22:18",580
"11/21/1398, 14:22:18",401
"11/21/1398, 14:22:18",322
"11/21/1398, 14:22:18",345
"11/21/1398, 14:22:19",317
"11/21/1398, 14:22:19",327
"11/21/1398, 14:22:19",351
"11/21/1398, 14:22:19",700
"11/21/1398, 14:22:19",296
"11/21/1398, 14:22:19",323
"11/21/1398, 14:22:19",345
"11/21/1398, 14:22:19",370
"11/21/1398, 14:22:19",298
"11/21/1398, 14:22:19",313
"11/21/1398, 14:22:19",337
"11/21/1398, 14:22:19",280
"11/21/1398, 14:22:19",288
"11/21/1398, 14:22:19",271
"11/21/1398, 14:22:19",277
"11/21/1398, 14:22:19",352
"11/21/1398, 14:22:19",580
"11/21/1398, 14:22:19",401
"11/21/1398, 14:22:19",322
"11/21/1398, 14:22:19",345
"11/21/1398, 14:22:20",317
"11/21/1398, 14:22:20",327
"11/21/1398, 14:22:20",351
"11/21/1398, 14:22:20",700
"11/21/1398, 14:22:20",296
"11/21/1398, 14:22:20",323
"11/21/1398, 14:22:20",345
"11/21/1398, 14:22:20",370
"11/21/1398, 14:22:20",298
"11/21/1398, 14:22:20",313
"11/21/1398, 14:22:20",337
"11/21/1398, 14:22:20",280
"11/21/1398, 14:22:20",288
"11/21/1398, 14:22:20",271
"11/21/1398, 14:22:20",277
"11/21/1398, 14:22:20",352
"11/21/1398, 14:22:20",580
"11/21/1398, 14:22:20",401
"11/21/1398, 14:22:20",322
"11/21/1398, 14:22:20",345
"11/21/1398, 14:22:21",317
"11/21/1398, 14:22:21",327
"11/21/1398, 14:22:21",351
"11/21/1398, 14:22:21",700
"11/21/1398, 14:22:21",296
"11/21/1398, 14:22:21",323
"11/21/1398, 14:22:21",345
"11/21/1398, 14:22:21",370
"11/21/1398, 14:22:21",298
"11/21/1398, 14:22:21",313
"11/21/1398, 14:22:21",337
"11/21/1398, 14:22:21",280
"11/21/1398, 14:22:21",288
"11/21/1398, 14:22:21",271
"11/21/1398, 14:22:21",277
"11/21/1398, 14:22:21",352
"11/21/1398, 14:22:21",580
"11/21/1398, 14:22:21",401
"11/21/1398, 14:22:21",322
"11/21/1398, 14:22:21",345
"11/21/1398, 14:22:22",317
"11/21/1398, 14:22:22",327
"11/21/1398, 14:22:22",351
"11/21/1398, 14:22:22",700
"11/21/1398, 14:22:22",296
"11/21/1398, 14:22:22",323
"11/21/1398, 14:22:22",345
"11/21/1398, 14:22:22",370
"11/21/1398, 14:22:22",298
"11/21/1398, 14:22:22",313
"11/21/1398, 14:22:22",337
"11/21/1398, 14:22:22",280
"11/21/1398, 14:22:22",288
"11/21/1398, 14:22:22",271
"11/21/1398, 14:22:22",277
"11/21/1398, 14:22:22",352
"11/21/1398, 14:22:22",580
"11/21/1398, 14:22:22",401
"11/21/1398, 14:22:22",322
"11/21/1398, 14:22:22",345
"11/21/1398, 14:22:23",317
"11/21/1398, 14:22:23",327
"11/21/1398, 14:22:23",351
"11/21/1398, 14:22:23",700
"11/21/1398, 14:22:23",296
"11/21/1398, 14:22:23",323
"11/21/1398, 14:22:23",345
"11/21/1398, 14:22:23",370
"11/21/1398, 14:22:23",298
"11/21/1398, 14:22:23",313
"11/21/1398, 14:22:23",337
"11/21/1398, 14:22:23",280
"11/21/1398, 14:22:23",288
"11/21/1398, 14:22:23",271
"11/21/1398, 14:22:23",277
"11/21/1398, 14:22:23",352
"11/21/1398, 14:22:23",580
"11/21/1398, 14:22:23",401
"11/21/1398, 14:22:23",322
"11/21/1398, 14:22:23",345
"11/21/1398, 14:22:24",317
"11/21/1398, 14:22:24",327
"11/21/1398, 14:22:24",351
"11/21/1398, 14:22:24",700
"11/21/1398, 14:22:24",296
"11/21/1398, 14:22:24",323
"11/21/1398, 14:22:24",345
"11/21/1398, 14:22:24",370
"11/21/1398, 14:22:24",298
"11/21/1398, 14:22:24",313
"11/21/1398, 14:22:24",337
"11/21/1398, 14:22:24",280
"11/21/1398, 14:22:24",288
"11/21/1398, 14:22:24",271
"11/21/1398, 14:22:24",277
"11/21/1398, 14:22:24",352
"11/21/1398, 14:22:24",580
"11/21/1398, 14:22:24",401
"11/21/1398, 14:22:24",322
"11/21/1398, 14:22:24",345
"11/21/1398, 14:22:25",317
"11/21/1398, 14:22:25",327
"11/21/1398, 14:22:25",351
"11/21/1398, 14:22:25",700
"11/21/1398, 14:22:25",296
"11/21/1398, 14:22:25",323
"11/21/1398, 14:22:25",345
"11/21/1398, 14:22:25",370
"11/21/1398, 14:22:25",298
"11/21/1398, 14:22:25",313
"11/21/1398, 14:22:25",337
"11/21/1398, 14:22:25",280
"11/21/1398, 14:22:25",288
"11/21/1398, 14:22:25",271
"11/21/1398, 14:22:25",277
"11/21/1398, 14:22:25",352
"11/21/1398, 14:22:25",580
"11/21/1398, 14:22:25",401
"11/21/1398, 14:22:25",322
"11/21/1398, 14:22:25",345
"11/21/1398, 14:22:26",317
"11/21/1398, 14:22:26",327
"11/21/1398, 14:22:26",351
"11/21/1398, 14:22:26",700
"11/21/1398, 14:22:26",296
"11/21/1398, 14:22:26",323
"11/21/1398, 14:22:26",345
"11/21/1398, 14:22:26",370
"11/21/1398, 14:22:26",298
"11/21/1398, 14:22:26",313
"11/21/1398, 14:22:26",337
"11/21/1398, 14:22:26",280
"11/21/1398, 14:22:26",288
"11/21/1398, 14:22:26",271
"11/21/1398, 14:22:26",277
"11/21/1398, 14:22:26",352
"11/21/1398, 14:22:26",580
"11/21/1398, 14:22:26",401
"11/21/1398, 14:22:26",322
"11/21/1398, 14:22:26",345
"11/21/1398, 14:22:27",317
"11/21/1398, 14:22:27",327
"11/21/1398, 14:22:27",351
"11/21/1398, 14:22:27",700
"11/21/1398, 14:22:27",296
"11/21/1398, 14:22:27",323
"11/21/1398, 14:22:27",345
"11/21/1398, 14:22:27",370
"11/21/1398, 14:22:27",298
"11/21/1398, 14:22:27",313
"11/21/1398, 14:22:27",337
"11/21/1398, 14:22:27",280
"11/21/1398, 14:22:27",288
"11/21/1398, 14:22:27",271
"11/21/1398, 14:22:27",277
"11/21/1398, 14:22:27",352
"11/21/1398, 14:22:27",580
"11/21/1398, 14:22:27",401
"11/21/1398, 14:22:27",322
"11/21/1398, 14:22:27",345